 Time taken (PHP); Time taken (node)
16.8751261234;62.823
46.7299990654;69.517
69.0170030594;91.384
91.8550970554;76.247
118.1052520275;80.955
137.730132103;62.825
156.5575401783;106.513
174.3162670136;69.518
191.2588891983;100.063
207.0565071106;76.248
1209.5018129349;796.093
