Page number, Time taken
1, 2.6201500892639
2, 5.381854057312
3, 8.9085130691528
4, 13.312482118607
5, 16.0226790905
6, 18.607885122299
7, 21.254508972168
8, 23.693239927292
9, 26.190629959106
10, 28.637016057968
11, 31.168414115906
12, 34.660202980042
13, 37.169605016708
14, 39.56841802597
15, 42.043573141098
16, 44.380743026733
17, 47.06934595108
18, 49.567582130432
19, 52.264964103699
20, 54.67702293396
21, 57.235003948212
22, 59.849898099899
23, 62.964229106903
24, 67.241295099258
25, 73.585225105286
26, 80.165962934494
27, 91.263222932816
28, 94.423671007156
29, 111.8800239563
30, 114.32763695717
31, 117.66591501236
32, 120.0665910244
33, 123.33286213875
34, 125.86125707626
35, 129.08283495903
36, 131.51324915886
37, 134.81029510498
38, 137.17528796196
39, 140.81306600571
40, 143.2253370285
41, 147.74959611893
42, 150.28162312508
43, 153.96357107162
44, 156.71338009834
45, 160.02599215508
46, 162.45007705688
47, 165.82129502296
48, 170.53735399246
49, 173.78913712502
50, 176.26395893097
51, 179.74042916298
52, 182.21491098404
53, 185.48972511292
54, 187.91552615166
55, 196.14780497551
56, 198.75110411644
57, 206.96781802177
58, 209.83681607246
59, 213.2826359272
60, 215.84947013855
61, 219.44806694984
62, 222.41521596909
63, 230.82866811752
64, 233.23984193802
65, 236.66797494888
66, 239.25274896622
67, 242.71737003326
68, 245.56279301643
69, 249.12583494186
70, 251.66975593567
71, 255.15076899529
72, 258.21407413483
73, 261.96271395683
74, 264.45066308975
75, 267.84577012062
76, 270.24626111984
77, 274.96256899834
78, 277.44917106628
79, 281.15337896347
80, 283.56595611572
81, 287.0638859272
82, 289.61649799347
83, 292.90205216408
84, 295.37286400795
85, 297.70308995247
86, 301.14545893669
87, 304.62649798393
88, 307.21830105782
89, 310.59265208244
90, 314.09504103661
91, 316.67667198181
92, 319.12368202209
93, 322.48083400726
94, 324.87204194069
95, 328.37731003761
96, 330.93056797981
97, 334.20888805389
98, 336.84797716141
99, 340.42040514946
100, 343.16146802902
101, 347.36114907265
102, 349.73560810089
103, 353.31979203224
104, 355.86933612823
105, 359.21421194077
106, 361.66534304619
107, 364.98523807526
108, 367.47195911407
109, 370.92701411247
110, 373.51913309097
111, 376.75297904015
112, 379.40043115616
113, 388.23306512833
114, 391.80942511559
115, 395.76429009438
116, 398.65953612328
117, 402.54495596886
118, 405.29478502274
119, 408.8827021122
120, 411.36714696884
121, 414.54046106339
122, 421.94097304344
123, 425.46672606468
124, 432.82569909096
125, 436.23351597786
126, 438.72887015343
127, 442.28208899498
128, 445.82143306732
129, 449.19188594818
130, 451.61717009544
131, 455.1089990139
132, 457.68755412102
133, 461.06035900116
134, 463.90456104279
135, 467.55366802216
136, 469.9184961319
137, 473.23001599312
138, 475.77369499207
139, 479.19401502609
140, 483.05506205559
141, 485.87448310852
142, 489.34478402138
143, 491.9003610611
144, 495.22586894035
145, 499.63939094543
146, 505.25744605064
147, 508.23316216469
148, 512.66104912758
149, 516.24842596054
150, 526.2171189785
151, 528.69219303131
152, 532.14590406418
153, 535.2265651226
154, 540.81312513351
155, 545.81765198708
156, 555.30826807022
157, 561.9535651207
158, 566.11022496223
159, 570.15429115295
160, 577.14948797226
161, 581.97039699554
162, 586.3180501461
163, 588.81362009048
164, 593.02407503128
165, 596.76807713509
166, 602.97367501259
167, 607.06642007828
168, 610.03127098083
169, 615.35587501526
170, 618.23643493652
171, 622.36622309685
172, 625.00674700737
173, 629.00055909157
174, 631.35482907295
175, 636.16190099716
176, 638.72397398949
177, 642.30829715729
178, 645.37477397919
179, 649.01892614365
180, 651.83885407448
181, 657.98109292984
182, 660.81424093246
183, 664.10181498528
184, 666.54960799217
185, 669.9806330204
186, 672.26378011703
187, 675.43558311462
188, 677.74738812447
189, 680.92643213272
190, 683.24340295792
191, 686.44604611397
192, 688.87149214745
193, 692.08768606186
194, 694.46106696129
195, 697.91503214836
196, 700.50017404556
197, 704.15656399727
198, 706.46318793297
199, 709.51280498505
200, 711.79067111015
